,KEY,EN,FR,IT,DE,ES
0,SETTINGS_AUDIO,ÁUDIO,AUDIO,AUDIO,AUDIO,AUDIO
1,SETTINGS_MUSICLEVEL,VOLUME DA MÚSICA,VOLUME DE LA MUSIQUE,VOLUME MUSICA,MUSIKLAUTST$RKE,NIVELES DE MUSICA
2,SETTINGS_VOICELEVEL,VOLUME DAS VOZES,VOLUME DES VOIX,VOLUME VOCE,SPRACHLAUTST$RKE,NIVELES DE VOZ
3,SETTINGS_MASTERLEVEL,VOLUME GERAL,VOLUME PRINCIPALE,VOLUME MAESTRO,MASTER-LAUTST$RKE,NIVEL MAESTRO
4,SETTINGS_SFXLEVEL,VOLUME DOS EFEITOS,VOLUME DES SFX,VOLUME EFFETTI,EFFEKTLAUTST$RKE,NIVEL SFX
5,SETTINGS_SUBTITLES,LEGENDAS,SOUS-TITRES,SOTTOTITOLI,UNTERTITEL,SUBTITULOS
6,SETTINGS_SENSITIVITY,SENSIBILIDADE,SENSIBILIT>,SENSIBILITA',EMPFINDLICHKEIT,SENSIBILIDAD
7,SETTINGS_INVERTCAMERA,INVERTER CÂMERA,INVERSION DE CAM>RA,INVERTI CAMERA,KAMERA DREHEN,INVERTIR CAMARA
8,SETTINGS_DISPLAY,TELA,VISUEL,SCHERMO,ANZEIGEN,VISUALIZACION
9,SETTINGS_TOGGLE_CROSSHAIR,MOSTRAR MIRA,ACTIV> R>TICULE,MOSTRA MIRA,ZEIGE CROSSHAIR,MOSTRAR MIRA
10,SETTINGS_TOGGLE_DOF,PROFUNDIDADE DE CAMPO,ACTIV> DOF,ATTIVA DOF,TIEFENSCH$RFE FREIGEBEN,PERMITIR DOF
11,SETTINGS_GAMEPLAY,JOGABILIDADE,OPTION DE JEU,GIOCO,GAMEPLAY,JUEGO
12,PRESS_A,PRESSIONE #A PARA COMEÇAR,APPUYER #A POUR COMMENCER,PREMI #A PER GIOCARE,DR}CKE #A ZUM STARTEN,PRESIONA #A PARA EMPEZAR
13,CONTINUE,CONTINUAR,CONTINUER,CONTINUA,FORTFAHREN,CONTINUA
14,NEWGAME,NOVO JOGO,NOUVELLE PARTIE,NUOVA PARTITA,NEUES SPIEL,JUEGO NUEVO
15,CHAPTER_SELECT,SELECIONAR CAPÍTULO,SELECTION DE CHAPITRE,SELEZIONA CAPITOLO,KAPITEL AUSW$HLEN,SELECCIONA CAPITULO
16,SETTINGS,CONFIGURAÇÕES,OPTIONS,IMPOSTAZIONI,EINSTELLUNGEN,AJUSTES
17,CREDITS,CRÉDITOS,CR>DITS,TITOLI,DANKSAGUNG,CREDITOS
18,QUIT,SAIR,QUITTER,ESCI,BEENDEN,ABANDONAR
19,CHAPTER_SELECT_1,PRÓLOGO,PROLOGUE,PROLOGO,PROLOG,PROLOGO
20,CHAPTER_SELECT_2,CAPÍTULO UM,PREMIER CHAPITRE,PRIMO CAPITOLO,KAPITEL EINS,CAPITULO UNO
21,CHAPTER_SELECT_3,CAPÍTULO DOIS,DEUXIJJJME CHAPITRE,SECONDO CAPITOLO,KAPITEL ZWEI,CAPITULO DOS
22,CHAPTER_SELECT_4,CAPÍTULO TRÊS,TROISIJJJME CHAPITRE,TERZO CAPITOLO,KAPITEL DREI,CAPITULO TRES
23,CHAPTER_SELECT_5,CAPÍTULO QUATRO,QUATRIJJJME CHAPITRE,QUARTO CAPITOLO,KAPITEL VIER,CAPITULO CUATRO
24,CHAPTER_SELECT_6,CAPÍTULO CINCO,CINQUIJJJME CHAPITRE,QUINTO CAPITOLO,KAPITEL F}NF,CAPITULO CINCO
25,CHAPTER_SELECT_7,CAPÍTULO SEIS,SIXIJJJME CHAPITRE,SESTO CAPITOLO,KAPITEL SECHS,CAPITULO SEIS
26,CHAPTER_SELECT_8,EPÍLOGO,>PILOGUE,EPILOGO,EPILOG,EPILOGO
27,USE_1,USE #X E #L PARA INTERAGIR,APPUYER #X et #L POUR INTERAGIR,USA #X E #L PER INTERAGIRE,DR}CKE #X UND #L UM ZU INTERAGIEREN,UTILIZAR #X Y #L PARA INTERACTUAR
28,USE_2,USE #X PARA INTERAGIR,APPUYER #X POUR INTERAGIR,USA #X PER INTERAGIRE,DR}CKE #X UM ZU INTERAGIEREN,UTILIZAR #X PARA INTERACTUAR
29,USE_3,PRESSIONE #A PARA PULAR,APPUYEZ #A POUR SAUTER,STAMPA #A PER SALTARE,PRESSE #A SPRINGEN,PRENSA #A PARA SALTAR
30,MAIN_CHANGEUSER,PRESSIONE #Y PARA TROCAR DE PERFIL,APPUYER #Y POUR CHANGER DE PROFILE,PREMI #Y PER CAMBIARE PROFILO,DR}CKE #Y UM PROFIL ZU WECHSELN,PRESIONA #Y PARA CAMBIAR PERFIL
31,MAIN_HELP,PRESSIONE #X PARA AJUDA,APPUYEZ SUR #X POUR L'AIDE,STAMPA #X AIUTO,PRESSE #X HILFE,#X PRENSA DE AYUDA
32,PAUSE_HELP,#X AJUDA,#X L'AIDE,#X AIUTO,#X HILFE,#X AYUDA
33,LOADING_SCREEN,CARREGANDO,CHARGEMENT,CARICAMENTO,LADEN,CARGANDO
34,LOADING_SAVEDATA,CARREGANDO DADOS SALVOS DE,CHARGEMENT DES INFORMATIONS ENREGISTES,CARICAMENTO DEI DATI SALVATI PER,GESPEICHERTE DATEN LADEN,CARGANDO GUARDAR DATOS PARA
35,CONNECT_WIRELESS_CONTROLLER,CONECTE UM CONTROLE SEM FIO E PRESSIONE #A PARA CONTINUAR,CONNECTER UN CONTROLLEUR SANS-FIL ET APPUYER #A POUR CONTINUER,CONNETTERE IL CONTROLLER WIRELESS E PREMERE #A PER CONTINUARE,BITTE EINEN KABELLOSEN CONTROLLER VERBINDEN UND #A DR}CKEN UM FORTZUFAHREN,POR FAVOR CONECTA UN MANDO INALAMBRICO Y PRESIONA #A PARA CONTINUAR
36,VALID_PROFILE_REQUIRED,É NECESSÁRIO UM PERFIL VÁLIDO - PRESSIONE #A PARA ENTRAR,UN PROFIL VALIDE EST N>CESSAIRE - APPUYER #A POUR S'ENREGISTRER,RICHIESTA DI UN PROFILO VALIDO - PREMI #A PER REGISTRARTI,EIN G}LTIGES PROFIL WIRD BEN&TIGT - DR}CKE #A ZUM ANMELDEN,SE REQUIERE UN PERFIL VALIDO - PRESIONA #A PARA REGISTRARTE
