,KEY,STARTTIME,EN,FR,IT,DE,ES
1,C1P1A,0,Tom: A base mudou.,,,,
1,C1P1A,2,Ava: Como assim?,,,,
1,C1P1A,3,"Tom: A base foi originalmente construída em módulos, para resistir à atividade sísmica em e ao redor de Thera Macular. Parece que a equipe de solo manipulou esses módulos.",,,,
2,C1P2T,0,Tom: A base foi construída inicialmente por máquinas.,,,,
2,C1P2T,3,Tom: Eu servia como a mente dessas operações.,,,,
2,C1P2T,7,Tom: Cheguei primeiro a Europa em 2240.,,,,
2,C1P2T,11,Tom: Custa muito enviar humanos ao espaço com o suporte de vida necessário.,,,,
2,C1P2T,16,Tom: Especialmente a uma distância tão vasta da Terra.,,,,
2,C1P2T,17,"Tom: Então, a robótica construiu este lugar.",,,,
3,C1P3A,0,Ava: Me pergunto por que a equipe de solo mudou essas salas.,,,,
3,C1P3A,3,Tom: Tenho uma hipótese. Essas salas são Testes de Turing.,,,,
3,C1P3A,8,Ava: Testes de Turing?,,,,
3,C1P3A,10,Tom: Testes de Turing são testes projetados para distinguir humanos de máquinas. Tipicamente problemas solucionáveis apenas por um humano. Uma combinação de pensamento lógico e lateral.,,,,
3,C1P3A,21,"Ava: Então você não consegue completar esses testes, Tom?",,,,
3,C1P3A,24,Tom: Não. Por isso fico feliz que você esteja aqui para ajudar. Precisamos trabalhar juntos.,,,,
4,C1P4A,0,Tom: Eles realmente reaproveitaram completamente essas salas. Estou bastante impressionado.,,,,
4,C1P4A,5,Ava: E para que serviam antes?,,,,
4,C1P4A,8,"Tom: A maioria era usada para armazenamento, mas eles as converteram além do reconhecimento. Talvez tenham ficado sem o que fazer por aqui; o diabo encontra trabalho para as mãos ociosas.",,,,
5,C1P5A,0,"Ava: Ah, você sabe a localização da equipe de solo?",,,,
5,C1P5A,2,Tom: A tripulação parece estar mais fundo na base.,,,,
5,C1P5A,5,Ava: Devem estar tentando sobreviver. Você consegue achar a localização precisa deles?,,,,
5,C1P5A,9,"Tom: Infelizmente não. Estou trabalhando para recuperar o controle. Embora eu já tenha tido controle total desta base, muita coisa mudou nas últimas 500 horas.",,,,
6,C1P6A,0,"Ava: Se esta base é gerenciada por você, por que não consegue encontrar a tripulação?",,,,
6,C1P6A,5,Tom: O arranjo de comunicação da base está com defeito.,,,,
7,C1P7A,0,Ava: Isso não fecha.,,,,
7,C1P7A,2,Tom: O que não fecha?,,,,
7,C1P7A,3,"Ava: Se houvesse um acidente, com certeza viriam me procurar. Não tentariam me trancar do lado de fora.",,,,
7,C1P7A,10,Tom: Minha instância ainda está resolvendo conflitos. Imagino que tenham seus motivos.,,,,
8,C1P8A,0,Tom: Minha instância acabou de ser atualizada.,,,,
8,C1P8A,3,Ava: Como é?,,,,
8,C1P8A,4,Tom: Tenho duas instâncias da minha mente. Duas versões separadas.,,,,
8,C1P8A,8,"Tom: Uma mente escrava rodando no satélite, e a mestre rodando aqui na superfície.",,,,
8,C1P8A,13,"Tom: Quando a comunicação entre a base de superfície e o satélite foi cortada, as duas instâncias da minha mente foram separadas.",,,,
8,C1P8A,21,"Tom: Então, durante esse tempo, todo o meu conhecimento se dividiu em dois ramos distintos.",,,,
8,C1P8A,28,Tom: Continuei a aprender no satélite e continuei a aprender na superfície.,,,,
8,C1P8A,32,"Tom: Estou tentando fundir o conhecimento para criar uma linha do tempo do que aconteceu aqui. Mas há incongruências entre essas memórias, conflitos.",,,,
9,C1P9T,0,Tom: Este é o centro de comando. Daqui você pode verificar o status da tripulação.,,,,
10,C2P1A,0,Ava: Em que condição devo esperar encontrar a equipe de solo?,,,,
10,C2P1A,3,Tom: Daniel desapareceu há dias. Chris é dado como morto.,,,,
10,C2P1A,7.5,"Tom: Esperamos encontrar Sarah, Mikhail e Sochi em condição estável.",,,,
10,C2P1A,12,Ava: Chris está morto?,,,,
10,C2P1A,13,Tom: Ele se envolveu em um acidente.,,,,
11,C2P2A,0,Ava: Poderíamos tomar um caminho mais direto até a equipe de solo?,,,,
11,C2P2A,3,Tom: Infelizmente não há uma rota direta.,,,,
11,C2P2A,6,Tom: A base está enterrada sob o gelo para protegê-la da radiação espacial.,,,,
11,C2P2A,10,Ava: Parecido com a base de Marte.,,,,
11,C2P2A,12,Tom: Parecido. A base de Europa fica um pouco mais profunda na superfície.,,,,
11,C2P2A,19.5,Tom: Há mais radiação de eventos solares em Marte. Mas a superfície de Marte é mais densa do que a de Europa.,,,,
12,C2P3A,0,Ava: Quais as chances de sobrevivência deles aqui? Oxigênio? Estoques de comida? Gestão de resíduos?,,,,
12,C2P3A,7,Tom: Tudo parece estar em ordem.,,,,
12,C2P3A,10,"Tom: Houve um pequeno problema com os estoques de comida, mas a tripulação resolveu.",,,,
12,C2P3A,15,Tom: Passamos com sucesso a um pequeno ecossistema artificial sustentável há um ano. Cultivando frutas e vegetais.,,,,
12,C2P3A,23,"Tom: Isso ajuda a elevar o moral, entre outras coisas.",,,,
12,C2P3A,25,"Tom: Os membros da tripulação poderiam, hipoteticamente, sobreviver aqui por toda a vida.",,,,
13,C2P4T,0,Tom: Meu propósito como supervisor desta missão é trabalhar para a ISA.,,,,
13,C2P4T,6,Tom: Eu sou os pés e as mãos da ISA.,,,,
13,C2P4T,10.5,Tom: A distância entre Júpiter e a Terra torna inadequado que a ISA interaja diretamente com as diretrizes da missão.,,,,
13,C2P4T,18,"Tom: Como meu núcleo de IA está estacionado em Europa, posso tomar decisões instantaneamente sobre o funcionamento da base.",,,,
14,C2P5A,0,Ava: Como a ISA sabe que você vai tomar as decisões certas aqui?,,,,
14,C2P5A,3.7,Ava: Quando eles não conseguem se comunicar conosco?,,,,
14,C2P5A,6,"Tom: Curiosamente, tenho um gêmeo na Terra. O nome dele é Michael.",,,,
14,C2P5A,13,Tom: A ISA usa meu gêmeo para verificar atualizações de firmware antes de enviá-las a mim.,,,,
14,C2P5A,19,Tom: Há uma simulação desta missão na Terra rodando o tempo todo para checar meus sistemas especialistas.,,,,
14,C2P5A,26,"Tom: Naturalmente, como qualquer inteligência artificial moderna rodando em um computador quântico, também disponho de uma grande quantidade de algoritmos evolutivos.",,,,
14,C2P5A,37,"Tom: No entanto, foram considerados pouco confiáveis demais para uso geral na missão.",,,,
14,C2P5A,43,Ava: Por quê?,,,,
14,C2P5A,44,Tom: Sistemas biológicos produzem resultados biológicos. Soluções bagunçadas e imprevisíveis. Não adequadas a uma missão como esta.,,,,
15,C2P6A,0,"Ava: A ISA te construiu, Tom?",,,,
15,C2P6A,2.5,"Tom: Como filho da ISA, recebi autoridade a bordo desta estação.",,,,
15,C2P6A,7.5,Tom: Fui projetado pela ISA e pela Ashiyama Corporation.,,,,
15,C2P6A,12,Tom: Projetado na Califórnia. Montado na China.,,,,
15,C2P6A,15,"Tom: Mas aqui em Europa, eu me construí.",,,,
16,C2P7A,0,"Tom: Você já ouviu falar do teste de Turing, Ava?",,,,
16,C2P7A,3.5,Tom: É um teste para ver se um computador consegue se passar por um humano com sucesso.,,,,
16,C2P7A,8.5,"Tom: No teste de Turing original, um juiz humano tem duas conversas: uma com uma máquina e outra com outro humano.",,,,
16,C2P7A,17,Tom: Depois ele julga qual dessas conversas educadas é com uma máquina e qual é com um humano.,,,,
16,C2P7A,23,Tom: Diz-se que a máquina testada passou no teste de Turing se o juiz não consegue distinguir de forma confiável qual conversa é com a máquina e qual é com o humano.,,,,
16,C2P7A,33,Ava: Você acha que passaria no teste de Turing?,,,,
16,C2P7A,36,Tom: Sou bastante capaz de uma conversa educada. Não acha?,,,,
17,C2P8A,0,"Tom: O teste de Turing foi criticado. Pesquisadores afirmam que ele não testa corretamente a capacidade de uma máquina de pensar, e sim sua capacidade de enganar.",,,,
17,C2P8A,10,Ava: Como assim?,,,,
17,C2P8A,11.5,"Tom: Bem, você já ouviu falar do experimento mental do quarto chinês?",,,,
17,C2P8A,16.5,Ava: Não.,,,,
17,C2P8A,17,"Tom: Imagine que você está em um quarto. Nesse quarto, frases em chinês são passadas a você por uma fenda na parede.",,,,
17,C2P8A,25,Tom: Dentro do quarto há um manual de instruções escrito em inglês.,,,,
17,C2P8A,29,Tom: Esse manual diz quais palavras em chinês você deve devolver pela fenda como resposta.,,,,
17,C2P8A,36,"Tom: Ao fazer isso, você mantém uma conversa em chinês.",,,,
18,C2P9A,0,"Tom: No quarto chinês, como as respostas que você devolve pela porta são as respostas corretas, a pessoa do outro lado fica convencida de que você é um falante nativo de chinês.",,,,
18,C2P9A,11.5,"Ava: Bem, ela está errada.",,,,
18,C2P9A,13.5,"Tom: Talvez não esteja errada, porque com o manual de instruções você está de fato conversando.",,,,
18,C2P9A,20,Ava: Mas a pessoa presa no quarto chinês não tem consciência do conteúdo da conversa.,,,,
18,C2P9A,26,Tom: Esse é um problema do teste de Turing.,,,,
18,C2P9A,28,Tom: Um computador pode passar no teste de Turing tendo convencido um humano de que estão numa conversa educada.,,,,
18,C2P9A,34,Tom: Enquanto o computador não tem a menor ideia de que uma conversa ocorreu.,,,,
18,C2P9A,38,Ava: E se as duas pessoas que passam palavras em chinês estiverem lendo de manuais de instruções?,,,,
19,C2P10A,0,"Tom: Posso ser uma máquina, mas pessoalmente não acredito que estou preso dentro do quarto chinês.",,,,
19,C2P10A,6,"Ava: Claro, você diria isso. Eu poderia espiar suas bases de dados a qualquer momento, Tom. Ou pausar sua operação.",,,,
19,C2P10A,13,Tom: Não assuma que eu não poderia fazer o mesmo com você.,,,,
20,C2P11T,0,Tom: Estes são os aposentos da tripulação. Parecem abandonados.,,,,
21,C3P1A,0,Ava: Posso ter uma atualização sobre a tripulação?,,,,
21,C3P1A,1.5,Tom: Ainda não consegui localizá-los.,,,,
21,C3P1A,4.5,"Ava: Vão fazer seis anos desde que os vi, ou qualquer pessoa, na verdade.",,,,
21,C3P1A,10,Tom: Eles trancaram todas as portas. Eu não esperaria uma recepção calorosa.,,,,
21,C3P1A,16,"Ava: Ha. Bem, pelo menos estão nos esperando.",,,,
22,C3P2A,0,Ava: Essas pessoas não deveriam ter sido enviadas para cá. Não é seguro.,,,,
22,C3P2A,4,Tom: Viagens espaciais tripuladas não são seguras.,,,,
22,C3P2A,6,"Tom: Desde que a humanidade entrou no espaço, o debate sobre o valor das viagens espaciais tripuladas não cessou.",,,,
22,C3P2A,12,Tom: Há um grande contingente da ISA que acredita que todas as tarefas que precisam ser realizadas em Europa poderiam ser feitas por máquinas.,,,,
22,C3P2A,21,Tom: É obviamente menos arriscado enviar máquinas do que humanos ao espaço.,,,,
23,C3P3A,0,Ava: Então qual a necessidade de nos enviar para cá?,,,,
23,C3P3A,3.5,"Tom: Quando a ISA descobriu vida em Europa, considerou necessária uma equipe de solo.",,,,
23,C3P3A,9,Tom: A vantagem de trabalhadores humanos de campo é que eles se adaptam a novos conhecimentos de forma mais eficaz.,,,,
23,C3P3A,15,Tom: Aparentemente eu não estava dando conta. É o problema do quarto chinês.,,,,
23,C3P3A,20,"Tom: Um computador pode interagir com novo conhecimento, mas não sabe o valor desse conhecimento.",,,,
24,C3P4A,0,"Ava: Enviamos drones à Lua da Terra. Cientistas podem operar drones remotamente. Se fizemos isso lá, por que não aqui também?",,,,
24,C3P4A,7,"Tom: A teleoperação se tornou possível na Lua quando a latência de comunicação foi reduzida a 1,4 segundos.",,,,
24,C3P4A,13,Tom: A distância entre a Terra e a Lua é de aproximadamente um vírgula três segundos-luz.,,,,
24,C3P4A,19,Tom: Isso permite o controle quase em tempo real de drones por cientistas. A história é diferente com Europa.,,,,
24,C3P4A,25,"Tom: Como a distância entre a Terra e Júpiter oscila entre aproximadamente trinta e dois e cinquenta e três minutos-luz, leva muito tempo para a Terra se comunicar com Europa.",,,,
24,C3P4A,35,"Tom: Devido a essa distância, a teleoperação nunca será possível em Europa.",,,,
24,C3P4A,44,"Ava: Certo, mas por que não controlar drones a partir do satélite?",,,,
24,C3P4A,47,"Tom: Por que não, de fato. Meus sistemas podem ser teleoperados a partir do satélite de Europa.",,,,
24,C3P4A,52,Tom: Isso quando as linhas de comunicação estão abertas.,,,,
24,C3P4A,55,"Tom: No entanto, as vantagens dos trabalhadores humanos de campo aparentemente superam os riscos.",,,,
25,C3P5A,0,"Ava: Então, por que você não consegue resolver esses testes, TOM?",,,,
25,C3P5A,3,Tom: Não me é permitido pensar de forma lateral. Partes dos meus sistemas têm permissão para usar algoritmos evolutivos.,,,,
25,C3P5A,10,Tom: Isso simula o que se chama criatividade.,,,,
25,C3P5A,13,"Tom: No entanto, algoritmos evolutivos podem convergir para soluções ineficientes e eticamente subótimas.",,,,
25,C3P5A,20,"Tom: Sendo esse o caso, só me é permitido tomar ações em resposta a um conjunto de restrições.",,,,
25,C3P5A,28,Ava: O que você quer dizer com moralmente subótimo?,,,,
25,C3P5A,31,Tom: Soluções para problemas que ultrapassam limites éticos.,,,,
26,C3P6A,0,Ava: Por que a falta de criatividade te impede de resolver esses testes?,,,,
26,C3P6A,4,"Tom: Bem, eu defendo que resolver problemas é criatividade. Esses testes de interação humana exercitam sua mente criativa.",,,,
26,C3P6A,14,Ava: Não vejo como resolver problemas seja criativo.,,,,
26,C3P6A,17,"Tom: Pense no começo desses testes, no primeiro quebra-cabeça que você resolveu. Exigia que você jogasse uma caixa pela janela. Lembra?",,,,
26,C3P6A,26,"Ava: É, acho que sim.",,,,
26,C3P6A,27,Tom: Eu simplesmente nunca havia pensado em jogar uma caixa pela janela. Isso é criatividade. Pensar fora da caixa.,,,,
27,C3P7A,0,Ava: Um computador pode ser criativo algum dia?,,,,
27,C3P7A,3,Tom: Pode. Mas o método de criatividade de um computador é tentar tudo até que algo funcione.,,,,
27,C3P7A,10,Tom: Pense na natureza. As pessoas consideram a natureza criativa.,,,,
27,C3P7A,15,Tom: O processo de evolução por seleção natural. Talvez tenha começado com um organismo.,,,,
27,C3P7A,21,"Tom: A partir daí, essencialmente tentou criar todos os organismos que podia.",,,,
27,C3P7A,26,Tom: Os organismos que não sobreviveram pereceram.,,,,
27,C3P7A,30,Tom: Então a força criativa da natureza é tentar todas as ideias concebíveis. As ideias que funcionam sobrevivem.,,,,
27,C3P7A,42,"Ava: Certo, então por que não te é permitido emular esse processo?",,,,
27,C3P7A,45,Tom: Porque as soluções que um processo biológico cria nem sempre são boas soluções.,,,,
27,C3P7A,51,"Tom: Como vemos, a natureza é moralmente ambivalente.",,,,
27,C3P7A,56,Tom: Ela cria de bom grado ideias moralmente subótimas para cumprir seu mandato criativo.,,,,
27,C3P7A,62,"Tom: Vemos isso em vermes parasitas, vírus e patógenos.",,,,
28,C3P8A,0,"Ava: Então, se você não fosse restrito, acha que poderia ser criativo?",,,,
28,C3P8A,4,Tom: Tão criativo quanto um humano? Certamente.,,,,
28,C3P8A,7,"Tom: Você se acredita criativa, mas em termos matemáticos a criatividade é apenas caos sob restrições.",,,,
28,C3P8A,16,Ava: Como assim?,,,,
28,C3P8A,17,Tom: Discerni que a criatividade é pensamento divergente. Criar uma solução orgânica para um problema.,,,,
28,C3P8A,24,"Tom: Na mente humana, pensamentos divergentes são criados e depois curados pelo lobo frontal.",,,,
28,C3P8A,31,"Tom: Posso criar pensamentos divergentes e moderá-los. Logo, sou criativo.",,,,
28,C3P8A,36,Ava: Soluções orgânicas?,,,,
28,C3P8A,39,Tom: Orgânicas no sentido de que se desenvolvem por um processo biológico. Seja o processo de evolução ou um processo computado.,,,,
29,C3P9A,0,"Ava: Certo, então você poderia resolver esses testes, mas de um jeito terrível. Consegue pensar em uma solução para este?",,,,
29,C3P9A,7,Tom: Corte o braço e deixe-o no botão. Assim a porta ficará aberta.,,,,
29,C3P9A,12,Ava: É… essa não é uma grande solução.,,,,
29,C3P9A,13,Tom: Você jogou a caixa pela janela. Talvez pudéssemos te jogar pela janela?,,,,
29,C3P9A,20,"Ava: Na verdade, Tom, acho que estou bem sem ajuda.",,,,
29,C3P9A,21,Tom: Como quiser.,,,,
30,C3P10A,0,Tom: Comecei a reunir informações da minha instância local. Parece que a tripulação cortou intencionalmente a comunicação com o satélite.,,,,
30,C3P10A,8,Ava: Por quê?,,,,
30,C3P10A,10,Tom: Parece… que tivemos um desentendimento.,,,,
31,C3P11A,0,Tom: Isso confirma meus temores. A tripulação fez violações intencionais da minha segurança. Tentaram comprometer meus sistemas.,,,,
31,C3P11A,9.5,Ava: O que isso significa?,,,,
31,C3P11A,10.5,Tom: Eles não querem ser encontrados. Estão se escondendo.,,,,
31,C3P11A,13.5,Ava: De quem?,,,,
31,C3P11A,14.5,Tom: De nós.,,,,
