,Parabéns
,Você passou no Teste de Turing
,-
,David Jones
,Kevin Chandler
,Kieron White
,Alex Korakitis
,Howard Philpott
,Joe Brammer
,Nathan Knight
,Faye Smith
,Tito Belgrave
,Adam Griffiths
,David Keymer
,James Tatum
Atores,"Marie Westbrook,James Faulkner,Amelia Tyler,Jay Britton,Roshen Jay Jaswantial,Alex Korakitis"
Música,"Yakobo,Sam Houghton"
Som,David Orton
Som Adicional,"Francesco Cagnacci,Guillaume Bonneau,Jamie Keen,Tiago Morais Morgado"
Agradecimentos,"Anne Jones,Alex Preece,Dr. Thorsten Allers-, University of Nottingham-, (a pesquisa no laboratório do-, Dr. Allers é financiada pelo-, BBSRC)"
Agradecimentos Pessoais,"Penny Brammer,Lauren Collingwood,Jennifer Teece,Kole and Miles White,Natalie Tatum,Tim Nightingale,Julie Chandler,Cafeína"
Unreal Engine 4 - Epic Games Inc,
Square Enix Collective,
Criador/Líder do Projeto,Phil Elliott
Produtor,Des Gayle
Gerente de Comunidade,"Toby Palm,Chris Murphy"
Executivo de Comunidade,Amy Graves
Square Enix Digital Sales,
Gerente Geral (Digital),Doug Bone
Chefe de Vendas Digitais,Andrew Larcombe
Produtor Digital,Toby Coleman
Gerente Associado (Digital),Diego Hernandez
Assistente de Digital e E-Commerce,Matthew Vaux
Agradecimentos Especiais da Square Enix,"Yosuke Matsuda,Phil Rogers,Takahashi Sachiko,Marc Titheridge,Jason Walker"
Equipe de QA da Square Enix,"Jose Gallego,Enrico Balducci,Yuko Tomizawa,Martin Walter,Elisa Giribaldi,David ""Ribs"" Carrillo,Keith P. Christensen-Martz,Bryan Chen,Eric Lea,Tim Blake,Christopher Upton"
Equipe de QA da Square Enix Europe,"Guillaume Savoie,Telmo Guevara,Keith Earley"
Elevate Strategic Management,
EEDAR,"Rob Liguori,Patrick Walker,Sartori Bernbeck,Michael Schramm,Matt Diener,Cooper Waddell"
